experiment_name,backend,mpi_ranks,omp_threads,num_qubits,circuit_depth,num_cuts,total_tasks,batch_size,chunk_records,compute_seconds,write_seconds,read_seconds,total_seconds,global_sum,records_written,bytes_written,files_created,tasks_per_second,max_buffer_mb
memory_mpi1_b16384_c4096_cuts4_t12_rep0,memory,1,12,28,120,4,599837,16384,4096,0.041022,0.025307,0.001490,0.068945,-0.010880,599837,38389568,0,8700243.745544,36.611145
memory_mpi1_b16384_c4096_cuts6_t4_rep0,memory,1,4,28,120,6,9597401,16384,4096,0.623219,0.422734,0.023625,1.080917,-0.015582,9597401,614233664,0,8878944.035938,585.778870
memory_mpi1_b16384_c4096_cuts6_t8_rep0,memory,1,8,28,120,6,9597401,16384,4096,0.633017,0.426453,0.023323,1.094393,-0.015582,9597401,614233664,0,8769607.477513,585.778870
memory_mpi1_b16384_c4096_cuts6_t12_rep0,memory,1,12,28,120,6,9597401,16384,4096,0.636266,0.421579,0.023195,1.092414,-0.015582,9597401,614233664,0,8785500.481965,585.778870
memory_mpi1_b16384_c4096_cuts8_t4_rep0,memory,1,4,28,120,8,50000000,16384,4096,3.257408,1.851657,0.124896,5.291469,0.000027,50000000,3200000000,0,9449172.499065,3051.757812
memory_mpi1_b16384_c4096_cuts8_t8_rep0,memory,1,8,28,120,8,50000000,16384,4096,3.281062,1.860998,0.121662,5.320773,0.000027,50000000,3200000000,0,9397130.009180,3051.757812
memory_mpi1_b16384_c4096_cuts8_t12_rep0,memory,1,12,28,120,8,50000000,16384,4096,3.327538,1.843543,0.125746,5.353660,0.000027,50000000,3200000000,0,9339405.532138,3051.757812
memory_mpi1_b16384_c16384_cuts4_t4_rep0,memory,1,4,28,120,4,599837,16384,16384,0.038497,0.024075,0.001499,0.065194,-0.010880,599837,38389568,0,9200856.574826,36.611145
memory_mpi1_b16384_c16384_cuts4_t8_rep0,memory,1,8,28,120,4,599837,16384,16384,0.039663,0.025195,0.001428,0.067429,-0.010880,599837,38389568,0,8895884.470144,36.611145
memory_mpi1_b16384_c16384_cuts4_t12_rep0,memory,1,12,28,120,4,599837,16384,16384,0.041377,0.025324,0.001485,0.069315,-0.010880,599837,38389568,0,8653819.158801,36.611145
memory_mpi1_b16384_c16384_cuts6_t4_rep0,memory,1,4,28,120,6,9597401,16384,16384,0.619769,0.423187,0.022639,1.076885,-0.015582,9597401,614233664,0,8912189.692845,585.778870
memory_mpi1_b16384_c16384_cuts6_t8_rep0,memory,1,8,28,120,6,9597401,16384,16384,0.630015,0.422578,0.024464,1.088490,-0.015582,9597401,614233664,0,8817173.650531,585.778870
memory_mpi1_b16384_c16384_cuts6_t12_rep0,memory,1,12,28,120,6,9597401,16384,16384,0.639398,0.424214,0.022662,1.097695,-0.015582,9597401,614233664,0,8743231.935321,585.778870
memory_mpi1_b16384_c16384_cuts8_t4_rep0,memory,1,4,28,120,8,50000000,16384,16384,3.218528,1.858829,0.121609,5.256119,0.000027,50000000,3200000000,0,9512722.156225,3051.757812
